name,cals,fat,carbs,protein,nutr_code
"ANDREA'S, Gluten Free Soft Dinner Roll",2.57,0.7379999999999999,1.6096,0.226,28354
"ARCHWAY Home Style Cookies, Chocolate Chip Ice Box",4.97,2.196,2.6008,0.17120000000000002,18522
"ARCHWAY Home Style Cookies, Coconut Macaroon",4.6,2.0295,2.4492,0.1208,18524
"ARCHWAY Home Style Cookies, Date Filled Oatmeal",4.0,1.0845,2.7264,0.1868,18527
"ARCHWAY Home Style Cookies, Dutch Cocoa",4.31,1.3491,2.7776,0.18,18528
"ARCHWAY Home Style Cookies, Frosty Lemon",4.3,1.5399,2.5912,0.1764,18529
"ARCHWAY Home Style Cookies, Iced Molasses",4.2,1.2986999999999995,2.7648,0.14,18532
"ARCHWAY Home Style Cookies, Iced Oatmeal",4.35,1.4877,2.6704000000000003,0.1956,18533
"ARCHWAY Home Style Cookies, Molasses",4.03,1.0854,2.7764,0.17,18535
"ARCHWAY Home Style Cookies, Oatmeal",4.21,1.2672,2.7268,0.2192,18537
"ARCHWAY Home Style Cookies, Oatmeal Raisin",4.06,1.0872,2.7708,0.2068,18538
"ARCHWAY Home Style Cookies, Old Fashioned Molasses",4.06,1.0647,2.822,0.17079999999999998,18539
"ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies",4.68,1.5795,2.8892,0.2068,18540
"ARCHWAY Home Style Cookies, Peanut Butter",4.8,2.1852,2.3392,0.36,18541
"ARCHWAY Home Style Cookies, Raspberry Filled",4.0,1.1934,2.6368,0.174,18544
"ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps",4.24,1.0026,3.0492000000000004,0.1868,18562
"ARCHWAY Home Style Cookies, Strawberry Filled",4.0,1.1934,2.6368,0.174,18547
"ARCHWAY Home Style Cookies, Sugar Free Oatmeal",4.42,1.8828000000000005,2.688,0.2216,18513
"AUSTIN, Cheddar Cheese on Cheese Crackers, sandwich-type",4.94,2.241,2.4,0.3,18984
"AUSTIN, Cheddar Cheese on Cheese Crackers, sandwich-type, reduced fat",4.61,1.575,2.72,0.312,18987
"AUSTIN, Cheddar Cheese on Wafer Crackers, sandwich-type",4.89,2.0700000000000003,2.504,0.312,28258
"AUSTIN, Cheddar Cheese on Wheat Crackers, sandwich-type",4.95,2.205,2.456,0.316,18983
"AUSTIN, Chocolatey Peanut Butter Crackers, sandwich-type",4.79,1.8719999999999999,2.648,0.308,18985
"AUSTIN, Grilled Cheese on Wafer Crackers, sandwich-type",4.93,2.1420000000000003,2.48,0.316,18986
"AUSTIN, PB & J Crackers, sandwich-type",4.84,1.953,2.628,0.304,18990
"AUSTIN, Peanut Butter on Cheese Crackers, sandwich-type",4.92,2.205,2.36,0.4320000000000001,28256
"AUSTIN, Peanut Butter on Cheese Crackers, sandwich-type, reduced fat",4.61,1.611,2.652,0.388,18988
"AUSTIN, Peanut Butter on Toasty Crackers, sandwich-type",4.89,2.1420000000000003,2.408,0.424,28257
"AUSTIN, Peanut Butter on Toasty Crackers, sandwich-type, reduced fat",4.63,1.62,2.688,0.38,18989
"Abiyuch, raw",0.69,0.009000000000000001,0.7040000000000001,0.06,9427
"Acerola juice, raw",0.23,0.027000000000000003,0.192,0.016,9002
"Acerola, (west indian cherry), raw",0.32,0.027000000000000003,0.30760000000000004,0.016,9001
"Alcoholic Beverage, wine, table, red, Barbera",0.85,0.0,0.1116,0.0028000000000000004,14101
"Alcoholic Beverage, wine, table, red, Burgundy",0.86,0.0,0.1476,0.0028000000000000004,14152
"Alcoholic Beverage, wine, table, red, Cabernet Franc",0.83,0.0,0.098,0.0028000000000000004,14098
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",0.83,0.0,0.104,0.0028000000000000004,14097
"Alcoholic Beverage, wine, table, red, Carignane",0.74,0.0,0.096,0.0028000000000000004,14109
"Alcoholic Beverage, wine, table, red, Claret",0.83,0.0,0.1204,0.0028000000000000004,14105
"Alcoholic Beverage, wine, table, red, Gamay",0.78,0.0,0.0952,0.0028000000000000004,14158
"Alcoholic Beverage, wine, table, red, Lemberger",0.8,0.0,0.0984,0.0028000000000000004,14107
"Alcoholic Beverage, wine, table, red, Merlot",0.83,0.0,0.1004,0.0028000000000000004,14602
"Alcoholic Beverage, wine, table, red, Mouvedre",0.88,0.0,0.1056,0.0028000000000000004,14159
"Alcoholic Beverage, wine, table, red, Petite Sirah",0.85,0.0,0.1072,0.0028000000000000004,14103
"Alcoholic Beverage, wine, table, red, Pinot Noir",0.82,0.0,0.0924,0.0028000000000000004,14099
"Alcoholic Beverage, wine, table, red, Sangiovese",0.86,0.0,0.1048,0.0028000000000000004,14108
"Alcoholic Beverage, wine, table, red, Syrah",0.83,0.0,0.1032,0.0028000000000000004,14100
"Alcoholic Beverage, wine, table, red, Zinfandel",0.88,0.0,0.1144,0.0028000000000000004,14102
"Alcoholic beverage, beer, light",0.29,0.0,0.06559999999999999,0.0096,14006
"Alcoholic beverage, beer, light, BUD LIGHT",0.29,0.0,0.052000000000000005,0.01,14007
"Alcoholic beverage, beer, light, BUDWEISER SELECT",0.28,0.0,0.0348,0.008,14005
"Alcoholic beverage, beer, light, higher alcohol",0.46,0.0,0.0308,0.01,14248
"Alcoholic beverage, beer, light, low carb",0.27,0.0,0.0292,0.0068000000000000005,14013
"Alcoholic beverage, beer, regular, BUDWEISER",0.41,0.0,0.1188,0.0144,14004
"Alcoholic beverage, beer, regular, all",0.43,0.0,0.142,0.0184,14003
"Alcoholic beverage, creme de menthe, 72 proof",3.71,0.027000000000000003,1.664,0.0,14034
"Alcoholic beverage, daiquiri, canned",1.25,0.0,0.628,0.0,14009
"Alcoholic beverage, daiquiri, prepared-from-recipe",1.86,0.005399999999999999,0.2776,0.0024,14010
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",2.95,0.0,0.0,0.0,14533
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",2.31,0.0,0.0,0.0,14037
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",2.5,0.0,0.004,0.0,14550
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",2.63,0.0,0.0,0.0,14551
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",2.75,0.0,0.0,0.0,14532
"Alcoholic beverage, distilled, gin, 90 proof",2.63,0.0,0.0,0.0,14049
"Alcoholic beverage, distilled, rum, 80 proof",2.31,0.0,0.0,0.0,14050
"Alcoholic beverage, distilled, vodka, 80 proof",2.31,0.0,0.0,0.0,14051
"Alcoholic beverage, distilled, whiskey, 86 proof",2.5,0.0,0.004,0.0,14052
"Alcoholic beverage, liqueur, coffee with cream, 34 proof",3.27,1.413,0.836,0.112,14415
"Alcoholic beverage, liqueur, coffee, 53 proof",3.36,0.027000000000000003,1.872,0.004,14414
"Alcoholic beverage, liqueur, coffee, 63 proof",3.08,0.027000000000000003,1.288,0.004,14534
"Alcoholic beverage, malt beer, hard lemonade",0.68,0.0,0.4028,0.0,14239
